nThreads, MatrixName, NRows, NCol, NZ, k, time, err_rel, GFLOPS
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000008, 0.000000, 0.034783
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000294, 0.000000, 0.001001
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000030, 0.000000, 0.009801
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000044, 0.000000, 0.006750
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000255, 0.000000, 0.001151
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000021, 0.000000, 0.013853
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000046, 0.000000, 0.006349
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000053, 0.000000, 0.005553
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000050, 0.000000, 0.005847
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000046, 0.000000, 0.006364
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000028, 0.000000, 0.010594
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000049, 0.000000, 0.006017
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000049, 0.000000, 0.005954
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000049, 0.000000, 0.005961
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000045, 0.000000, 0.006465
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000051, 0.000000, 0.005783
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000050, 0.000000, 0.005858
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000026, 0.000000, 0.011512
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000048, 0.000000, 0.006076
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000029, 0.000000, 0.010246
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000055, 0.000000, 0.005382
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000030, 0.000000, 0.009917
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000029, 0.000000, 0.010175
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000031, 0.000000, 0.009570
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000032, 0.000000, 0.009064
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000030, 0.000000, 0.009905
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000033, 0.000000, 0.008939
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000041, 0.000000, 0.007157
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000035, 0.000000, 0.008450
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000032, 0.000000, 0.009155
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000032, 0.000000, 0.009205
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000033, 0.000000, 0.008996
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000034, 0.000000, 0.008741
34, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000033, 0.000000, 0.009026
35, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000035, 0.000000, 0.008410
36, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000034, 0.000000, 0.008623
37, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000036, 0.000000, 0.008201
38, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000036, 0.000000, 0.008059
39, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0.000036, 0.000000, 0.008094
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000003, 0.000000, 0.154513
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000058, 0.000000, 0.006743
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000831, 0.000000, 0.000472
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000022, 0.000000, 0.017549
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000018, 0.000000, 0.021612
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000016, 0.000000, 0.024364
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000020, 0.000000, 0.019564
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000027, 0.000000, 0.014453
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000024, 0.000000, 0.016425
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000027, 0.000000, 0.014469
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000027, 0.000000, 0.014701
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000023, 0.000000, 0.017103
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000024, 0.000000, 0.016502
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000026, 0.000000, 0.015248
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000025, 0.000000, 0.015979
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000025, 0.000000, 0.015503
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000024, 0.000000, 0.016605
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000025, 0.000000, 0.015386
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000027, 0.000000, 0.014572
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000026, 0.000000, 0.014886
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000023, 0.000000, 0.017146
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000027, 0.000000, 0.014301
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000028, 0.000000, 0.013943
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000028, 0.000000, 0.013962
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000027, 0.000000, 0.014465
26, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000028, 0.000000, 0.013770
27, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000030, 0.000000, 0.013162
28, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000030, 0.000000, 0.013061
29, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000028, 0.000000, 0.014147
30, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000028, 0.000000, 0.014195
31, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000034, 0.000000, 0.011564
32, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000031, 0.000000, 0.012724
33, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000032, 0.000000, 0.012311
34, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000029, 0.000000, 0.013695
35, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000030, 0.000000, 0.013006
36, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000030, 0.000000, 0.013081
37, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000033, 0.000000, 0.011849
38, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000031, 0.000000, 0.012470
39, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0.000033, 0.000000, 0.011719
1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000002, 0.000000, 0.320917
2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000061, 0.000000, 0.012823
3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000199, 0.000000, 0.003932
4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000027, 0.000000, 0.029515
5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000240, 0.000000, 0.003267
6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000018, 0.000000, 0.043483
7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000017, 0.000000, 0.045422
8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000017, 0.000000, 0.046861
9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000027, 0.000000, 0.028705
10, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000241, 0.000000, 0.003256
11, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000025, 0.000000, 0.031209
12, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000023, 0.000000, 0.033544
13, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000024, 0.000000, 0.032299
14, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000026, 0.000000, 0.030466
15, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000025, 0.000000, 0.030811
16, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000025, 0.000000, 0.031977
17, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000027, 0.000000, 0.028916
18, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000031, 0.000000, 0.025584
19, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000027, 0.000000, 0.028575
20, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000025, 0.000000, 0.031586
21, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000027, 0.000000, 0.028886
22, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000028, 0.000000, 0.027805
23, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000030, 0.000000, 0.026343
24, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000026, 0.000000, 0.029960
25, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0.000030, 0.000000, 0.025798
