nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.007628, 0.005768, 0.157590
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002674, 0.005920, 0.161752
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002253, 0.005828, 0.159229
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002323, 0.005828, 0.159229
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002238, 0.005614, 0.153381
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002076, 0.005878, 0.160621
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000003, 1.969892, 0.001535, 0.003711, 0.101407
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002327, 0.005878, 0.160621
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002153, 0.005807, 0.158679
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000002, 1.969892, 0.002012, 0.005728, 0.156516
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000003, 6.066583, 0.002288, 0.004167, 0.133880
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002328, 0.006796, 0.218360
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002657, 0.006724, 0.216049
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002453, 0.006665, 0.214161
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002679, 0.006970, 0.223949
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002625, 0.006857, 0.220324
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002521, 0.006882, 0.221119
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002515, 0.006894, 0.221519
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.003086, 0.006760, 0.217199
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000002, 6.066583, 0.002697, 0.006869, 0.220721
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.005564, 0.009778, 0.426829
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.004394, 0.010650, 0.464896
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.004308, 0.009795, 0.427574
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.004513, 0.009969, 0.435169
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.004007, 0.010223, 0.446266
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.004035, 0.010022, 0.437500
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.003943, 0.010279, 0.448718
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.003666, 0.009627, 0.420240
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.004105, 0.010058, 0.439068
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 0, 0.000002, 5.397471, 0.003984, 0.010149, 0.443038
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.007660, 0.013380, 0.663357
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005339, 0.013260, 0.657424
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005010, 0.012847, 0.636915
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005360, 0.013119, 0.650442
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005683, 0.013453, 0.666969
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005396, 0.013881, 0.688202
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005161, 0.012914, 0.640244
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005187, 0.013778, 0.683085
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.005037, 0.013073, 0.648148
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 0, 0.000002, 3.190494, 0.067292, 0.013453, 0.666969
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.009595, 0.016599, 0.882883
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006999, 0.016480, 0.876565
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006914, 0.016305, 0.867257
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000003, 3.708792, 0.003527, 0.008594, 0.457090
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.007015, 0.016451, 0.875000
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.007203, 0.017124, 0.910781
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006986, 0.016569, 0.881295
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006669, 0.016480, 0.876565
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006664, 0.016050, 0.853659
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006814, 0.016451, 0.875000
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.017482, 0.029466, 1.759426
