nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001330, 0.009741, 0.103463
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001505, 0.011019, 0.117038
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001458, 0.010679, 0.113426
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001355, 0.009920, 0.105361
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001442, 0.010562, 0.112179
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001473, 0.010786, 0.114557
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001475, 0.010799, 0.114700
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001439, 0.010536, 0.111906
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001473, 0.010786, 0.114557
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 32, 0.000003, 1.969892, 0.001501, 0.010991, 0.116741
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001435, 0.019259, 0.111634
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000002, 1.969892, 0.001514, 0.020321, 0.117788
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001455, 0.019520, 0.113147
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001446, 0.019400, 0.112454
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000002, 1.969892, 0.001516, 0.020347, 0.117940
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001475, 0.019788, 0.114700
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001444, 0.019377, 0.112317
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000002, 1.969892, 0.001530, 0.020531, 0.119009
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001480, 0.019862, 0.115132
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 64, 0.000003, 1.969892, 0.001477, 0.019813, 0.114844
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001871, 0.011375, 0.153125
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001825, 0.011098, 0.149390
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001828, 0.011111, 0.149573
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001902, 0.011563, 0.155654
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001866, 0.011347, 0.152743
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001902, 0.011563, 0.155654
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001808, 0.010990, 0.147947
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001843, 0.011207, 0.150862
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001890, 0.011490, 0.154672
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 32, 0.000003, 6.066583, 0.001876, 0.011404, 0.153509
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001850, 0.020148, 0.151422
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001864, 0.020299, 0.152553
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001848, 0.020123, 0.151235
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001850, 0.020148, 0.151422
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001819, 0.019806, 0.148846
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001834, 0.019975, 0.150123
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001864, 0.020299, 0.152553
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001647, 0.017932, 0.134763
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001900, 0.020685, 0.155457
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 64, 0.000003, 6.066583, 0.001876, 0.020426, 0.153509
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002700, 0.013358, 0.300245
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002740, 0.013557, 0.304726
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002764, 0.013676, 0.307403
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002713, 0.013424, 0.301724
