nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
1, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 2.066058, 1, 0.076276, nan
1, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 6.049383, 1, 0.026739, nan
1, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 7.067308, 1, 0.022530, nan
1, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 6.853147, 1, 0.023234, nan
1, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 6.853147, 1, 0.022381, nan
1, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 7.736842, 1, 0.020760, nan
1, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 6.606742, 1, 0.015349, nan
1, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 6.901408, 1, 0.023274, nan
1, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 7.368421, 1, 0.021535, nan
1, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 3, 0, 0.000000, 7.777778, 1, 0.020124, nan
1, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 5.850746, 1, 0.022883, nan
1, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 9.377990, 1, 0.023284, nan
1, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 8.132780, 1, 0.026565, nan
1, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 8.730512, 1, 0.024530, nan
1, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 8.358209, 1, 0.026794, nan
1, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 8.394004, 1, 0.026248, nan
1, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 8.769575, 1, 0.025214, nan
1, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 8.808989, 1, 0.025147, nan
1, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 4, 0, 0.000000, 7.037702, 1, 0.030862, nan
